District,Date,Longitude,Latitude,Surface Runoff (mm/day)
Adilabad,2022-01-01,78.56516888,19.52058318,0.0
Adilabad,2022-01-02,78.56516888,19.52058318,0.0
Adilabad,2022-01-03,78.56516888,19.52058318,0.0
Adilabad,2022-01-04,78.56516888,19.52058318,0.0
Adilabad,2022-01-05,78.56516888,19.52058318,0.0
Adilabad,2022-01-06,78.56516888,19.52058318,0.0
Adilabad,2022-01-07,78.56516888,19.52058318,0.0
Adilabad,2022-01-08,78.56516888,19.52058318,0.0
Adilabad,2022-01-09,78.56516888,19.52058318,0.0
Adilabad,2022-01-10,78.56516888,19.52058318,0.2616
Adilabad,2022-01-11,78.56516888,19.52058318,2.3031
Adilabad,2022-01-12,78.56516888,19.52058318,0.0059
Adilabad,2022-01-13,78.56516888,19.52058318,0.0
Adilabad,2022-01-14,78.56516888,19.52058318,0.0915
Adilabad,2022-01-15,78.56516888,19.52058318,0.0
Adilabad,2022-01-16,78.56516888,19.52058318,0.0
Adilabad,2022-01-17,78.56516888,19.52058318,0.0
Adilabad,2022-01-18,78.56516888,19.52058318,0.0
Adilabad,2022-01-19,78.56516888,19.52058318,0.0
Adilabad,2022-01-20,78.56516888,19.52058318,0.0
Adilabad,2022-01-21,78.56516888,19.52058318,0.0
Adilabad,2022-01-22,78.56516888,19.52058318,0.0
Adilabad,2022-01-23,78.56516888,19.52058318,0.0
Adilabad,2022-01-24,78.56516888,19.52058318,0.0
Adilabad,2022-01-25,78.56516888,19.52058318,0.0
Adilabad,2022-01-26,78.56516888,19.52058318,0.0
Adilabad,2022-01-27,78.56516888,19.52058318,0.0
Adilabad,2022-01-28,78.56516888,19.52058318,0.0
Adilabad,2022-01-29,78.56516888,19.52058318,0.0
Adilabad,2022-01-30,78.56516888,19.52058318,0.0
Adilabad,2022-01-31,78.56516888,19.52058318,0.0
Adilabad,2022-02-01,78.56516888,19.52058318,0.0
Adilabad,2022-02-02,78.56516888,19.52058318,0.0
Adilabad,2022-02-03,78.56516888,19.52058318,0.0
Adilabad,2022-02-04,78.56516888,19.52058318,0.0
Adilabad,2022-02-05,78.56516888,19.52058318,0.0
Adilabad,2022-02-06,78.56516888,19.52058318,0.0
Adilabad,2022-02-07,78.56516888,19.52058318,0.0
Adilabad,2022-02-08,78.56516888,19.52058318,0.0
Adilabad,2022-02-09,78.56516888,19.52058318,0.0
Adilabad,2022-02-10,78.56516888,19.52058318,0.0
Adilabad,2022-02-11,78.56516888,19.52058318,0.0
Adilabad,2022-02-12,78.56516888,19.52058318,0.0
Adilabad,2022-02-13,78.56516888,19.52058318,0.0
Adilabad,2022-02-14,78.56516888,19.52058318,0.0
Adilabad,2022-02-15,78.56516888,19.52058318,0.0
Adilabad,2022-02-16,78.56516888,19.52058318,0.0
Adilabad,2022-02-17,78.56516888,19.52058318,0.8141
Adilabad,2022-02-18,78.56516888,19.52058318,0.0002
Adilabad,2022-02-19,78.56516888,19.52058318,0.0
Adilabad,2022-02-20,78.56516888,19.52058318,0.0
Adilabad,2022-02-21,78.56516888,19.52058318,0.0
Adilabad,2022-02-22,78.56516888,19.52058318,0.0
Adilabad,2022-02-23,78.56516888,19.52058318,0.0
Adilabad,2022-02-24,78.56516888,19.52058318,0.0
Adilabad,2022-02-25,78.56516888,19.52058318,0.0
Adilabad,2022-02-26,78.56516888,19.52058318,0.0
Adilabad,2022-02-27,78.56516888,19.52058318,0.0
Adilabad,2022-02-28,78.56516888,19.52058318,0.0
Adilabad,2022-03-01,78.56516888,19.52058318,0.0
Adilabad,2022-03-02,78.56516888,19.52058318,0.0
Adilabad,2022-03-03,78.56516888,19.52058318,0.0
Adilabad,2022-03-04,78.56516888,19.52058318,0.0
Adilabad,2022-03-05,78.56516888,19.52058318,0.0
Adilabad,2022-03-06,78.56516888,19.52058318,0.0
Adilabad,2022-03-07,78.56516888,19.52058318,0.0
Adilabad,2022-03-08,78.56516888,19.52058318,0.0
Adilabad,2022-03-09,78.56516888,19.52058318,0.0
Adilabad,2022-03-10,78.56516888,19.52058318,0.0
Adilabad,2022-03-11,78.56516888,19.52058318,0.0
Adilabad,2022-03-12,78.56516888,19.52058318,0.0249
Adilabad,2022-03-13,78.56516888,19.52058318,0.0
Adilabad,2022-03-14,78.56516888,19.52058318,0.0
Adilabad,2022-03-15,78.56516888,19.52058318,0.0
Adilabad,2022-03-16,78.56516888,19.52058318,0.0
Adilabad,2022-03-17,78.56516888,19.52058318,0.0
Adilabad,2022-03-18,78.56516888,19.52058318,0.0
Adilabad,2022-03-19,78.56516888,19.52058318,0.0
Adilabad,2022-03-20,78.56516888,19.52058318,0.0012
Adilabad,2022-03-21,78.56516888,19.52058318,0.0001
Adilabad,2022-03-22,78.56516888,19.52058318,0.0
Adilabad,2022-03-23,78.56516888,19.52058318,0.0
Adilabad,2022-03-24,78.56516888,19.52058318,0.0
Adilabad,2022-03-25,78.56516888,19.52058318,0.0
Adilabad,2022-03-26,78.56516888,19.52058318,0.0
Adilabad,2022-03-27,78.56516888,19.52058318,0.0
Adilabad,2022-03-28,78.56516888,19.52058318,0.0
Adilabad,2022-03-29,78.56516888,19.52058318,0.0
Adilabad,2022-03-30,78.56516888,19.52058318,0.0
Adilabad,2022-03-31,78.56516888,19.52058318,0.0
Adilabad,2022-04-01,78.56516888,19.52058318,0.0
Adilabad,2022-04-02,78.56516888,19.52058318,0.0
Adilabad,2022-04-03,78.56516888,19.52058318,0.0262
Adilabad,2022-04-04,78.56516888,19.52058318,0.0
Adilabad,2022-04-05,78.56516888,19.52058318,0.0058
Adilabad,2022-04-06,78.56516888,19.52058318,0.0
Adilabad,2022-04-07,78.56516888,19.52058318,0.1548
Adilabad,2022-04-08,78.56516888,19.52058318,0.0
Adilabad,2022-04-09,78.56516888,19.52058318,0.0
Adilabad,2022-04-10,78.56516888,19.52058318,0.0
