District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Mulugu,2023-05-28,0.0,25.444444444444443,42.86666666666667,19.700000000000003,74.3111111111111,0.0,9.922222222222222
Mulugu,2023-05-29,0.0,27.255555555555556,43.3,22.77777777777778,72.62222222222222,0.0,11.81111111111111
Mulugu,2023-05-30,10.544444444444444,23.366666666666667,41.77777777777778,30.011111111111113,92.9,0.0,15.91111111111111
Mulugu,2023-05-31,0.4555555555555555,23.577777777777776,31.977777777777778,58.47777777777779,97.01111111111112,0.0,7.933333333333334
Mulugu,2023-06-01,0.016666666666666666,22.799999999999997,36.11666666666667,43.33888888888889,94.3111111111111,0.0,8.511111111111111
Mulugu,2023-06-02,0.0,25.633333333333333,43.41111111111111,20.166666666666668,76.25555555555555,0.0,10.18888888888889
Mulugu,2023-06-03,0.0,25.37777777777778,44.24444444444444,16.766666666666666,74.43333333333334,0.0,8.922222222222222
Mulugu,2023-06-04,0.0,27.922222222222224,44.833333333333336,18.27777777777778,70.54444444444444,0.0,9.68888888888889
Mulugu,2023-06-05,0.12222222222222223,26.266666666666666,43.388888888888886,23.688888888888886,78.77777777777777,0.08888888888888889,16.711111111111112
Mulugu,2023-06-06,0.0,26.87777777777778,41.400000000000006,26.133333333333333,75.65555555555555,0.0,10.022222222222222
Mulugu,2023-06-07,0.0,26.58888888888889,43.63333333333333,21.244444444444444,75.26666666666667,0.0,11.733333333333334
Mulugu,2023-06-08,0.25555555555555554,28.966666666666665,43.77777777777778,23.066666666666666,62.400000000000006,0.0,10.177777777777777
Mulugu,2023-06-09,0.0,26.98888888888889,42.8,23.477777777777778,68.98888888888888,0.0,12.255555555555555
Mulugu,2023-06-10,0.0,31.166666666666668,43.888888888888886,20.211111111111112,57.05555555555556,0.0,14.044444444444444
Mulugu,2023-06-11,3.855555555555556,27.155555555555555,41.333333333333336,30.04444444444444,77.04444444444444,0.5111111111111111,17.433333333333334
Mulugu,2023-06-12,0.0,28.422222222222224,41.34444444444445,31.099999999999998,72.72222222222223,0.0,12.3
Mulugu,2023-06-13,0.3666666666666667,29.45555555555556,41.8,29.644444444444446,79.07777777777778,0.0,14.455555555555556
Mulugu,2023-06-14,0.0,30.22222222222222,42.28888888888889,26.033333333333335,61.3111111111111,0.0,16.811111111111114
Mulugu,2023-06-15,0.0,30.21111111111111,41.75555555555556,27.311111111111114,60.51111111111111,0.0,16.177777777777777
Mulugu,2023-06-16,0.0,28.299999999999997,41.611111111111114,27.41111111111111,65.74444444444445,0.0,13.81111111111111
Mulugu,2023-06-17,0.0,28.71111111111111,42.58888888888889,24.744444444444444,63.333333333333336,0.0,14.299999999999999
Mulugu,2023-06-18,0.011111111111111112,29.93333333333333,42.48888888888889,28.311111111111114,63.733333333333334,0.0,13.722222222222221
Mulugu,2023-06-19,0.0,29.988888888888887,41.422222222222224,29.311111111111114,64.54444444444444,0.0,12.788888888888888
Mulugu,2023-06-20,0.0,29.533333333333335,41.733333333333334,28.555555555555557,78.48888888888888,1.1888888888888889,11.588888888888889
Mulugu,2023-06-21,7.2333333333333325,25.811111111111114,42.18888888888889,30.95555555555556,92.46666666666667,0.7444444444444444,11.11111111111111
Mulugu,2023-06-22,2.1333333333333333,25.62222222222222,38.78888888888889,42.05555555555556,91.08888888888889,0.0,9.399999999999999
Mulugu,2023-06-23,11.866666666666667,24.366666666666667,36.58888888888889,48.08888888888889,98.26666666666667,0.0,9.511111111111111
Mulugu,2023-06-24,2.0999999999999996,24.87777777777778,30.477777777777778,76.44444444444444,96.83333333333333,0.0,4.133333333333334
Mulugu,2023-06-25,6.188888888888889,24.466666666666665,29.08888888888889,83.56666666666666,99.1,0.0,6.666666666666667
Mulugu,2023-06-26,6.588888888888889,25.200000000000003,33.144444444444446,62.98888888888889,97.6888888888889,0.0,11.366666666666667
Mulugu,2023-06-27,4.011111111111111,24.422222222222224,30.477777777777778,70.1222222222222,98.23333333333333,0.0,14.5
Mulugu,2023-06-28,6.588888888888889,24.5,32.599999999999994,63.12222222222223,98.84444444444445,0.0,12.666666666666666
Mulugu,2023-06-29,10.355555555555556,25.1,34.233333333333334,55.266666666666666,98.66666666666667,0.0,16.244444444444447
Mulugu,2023-06-30,0.5222222222222221,27.477777777777778,36.388888888888886,51.599999999999994,91.4,0.0,15.11111111111111
Mulugu,2023-07-01,0.03888888888888889,21.922222222222224,34.05,48.49444444444444,89.65555555555555,0.30000000000000004,8.044444444444444
Mulugu,2023-07-02,0.16666666666666666,26.61111111111111,36.733333333333334,45.400000000000006,90.43333333333334,0.0,11.61111111111111
Mulugu,2023-07-03,0.9666666666666666,27.62222222222222,37.355555555555554,43.833333333333336,83.16666666666667,0.0,10.933333333333334
Mulugu,2023-07-04,3.0444444444444447,26.733333333333334,37.855555555555554,46.22222222222222,94.27777777777777,0.3888888888888889,12.588888888888889
