District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,2024-01-01,0.0,13.338888888888889,30.127777777777776,45.35,97.71666666666668,0.0,6.088888888888889
Adilabad,2024-01-02,0.0,13.666666666666666,30.53333333333333,47.97777777777778,97.88333333333334,0.0,4.922222222222222
Adilabad,2024-01-03,0.0,14.47777777777778,30.14444444444445,45.32222222222222,95.89444444444445,0.0,6.677777777777778
Adilabad,2024-01-04,0.0,15.327777777777776,29.78333333333333,51.91111111111111,94.23888888888888,0.0,7.916666666666667
Adilabad,2024-01-05,0.0,14.97777777777778,30.39444444444445,45.65555555555555,93.53888888888888,0.0,6.655555555555555
Adilabad,2024-01-06,0.0,15.616666666666667,30.58888888888889,44.78333333333333,92.93333333333334,0.0,7.777777777777778
Adilabad,2024-01-07,0.0,14.305555555555555,30.294444444444448,34.73888888888889,96.54444444444444,0.0,6.288888888888889
Adilabad,2024-01-08,0.0,13.927777777777775,30.188888888888886,51.66111111111111,96.48333333333332,0.0,5.516666666666667
Adilabad,2024-01-09,0.0,13.45,32.32222222222222,31.53888888888889,90.47222222222224,0.2777777777777778,7.066666666666666
Adilabad,2024-01-10,0.0,18.02777777777778,30.944444444444443,39.672222222222224,87.13888888888889,0.0,5.072222222222222
Adilabad,2024-01-11,0.0,17.13888888888889,30.216666666666665,48.81111111111111,88.30000000000001,0.0,4.027777777777778
Adilabad,2024-01-12,0.0,16.299999999999997,32.361111111111114,40.98888888888889,93.62222222222222,0.0,5.050000000000001
Adilabad,2024-01-13,0.15,16.12222222222222,32.20555555555556,44.36111111111112,94.00555555555556,0.0,5.427777777777777
Adilabad,2024-01-14,0.0,15.16111111111111,32.34444444444445,44.12222222222223,96.02222222222224,0.0,4.466666666666667
Adilabad,2024-01-15,0.0,15.205555555555556,33.07222222222222,37.16111111111111,88.96111111111111,0.0,10.516666666666667
Adilabad,2024-01-16,0.0,12.533333333333331,32.33888888888889,35.916666666666664,89.36111111111111,0.0,5.761111111111111
Adilabad,2024-01-17,0.0,16.688888888888886,32.3,40.26111111111111,94.67777777777778,0.0,7.283333333333333
Adilabad,2024-01-18,0.0,18.716666666666665,31.477777777777774,48.644444444444446,87.40555555555555,0.3111111111111111,9.344444444444443
Adilabad,2024-01-19,0.0,17.305555555555557,31.43333333333333,45.63333333333333,93.77222222222224,0.0,8.366666666666667
Adilabad,2024-01-20,0.0,17.75,31.46111111111111,45.75,93.65,0.0,5.383333333333333
Adilabad,2024-01-21,0.0,18.76111111111111,31.561111111111117,44.65555555555555,93.77777777777776,0.0,9.661111111111111
Adilabad,2024-01-22,0.0,16.87222222222222,30.422222222222224,53.75555555555556,92.03888888888888,0.0,5.227777777777778
Adilabad,2024-01-23,0.0,18.355555555555554,30.9,52.583333333333336,96.85,0.0,4.988888888888889
Adilabad,2024-01-24,0.0,18.75555555555556,31.25,53.00555555555556,94.92222222222222,0.0777777777777777,8.566666666666666
Adilabad,2024-01-25,0.0,10.544444444444444,27.72222222222222,47.87777777777778,91.6,0.0,7.233333333333332
Adilabad,2024-01-26,0.0,11.35,28.66111111111111,33.49444444444444,91.48888888888888,0.1888888888888888,6.949999999999999
Adilabad,2024-01-27,0.0,11.544444444444444,30.244444444444444,39.7,89.90555555555555,0.0,6.216666666666667
Adilabad,2024-01-28,0.0,11.416666666666666,31.633333333333333,26.405555555555555,87.82777777777778,0.0222222222222222,6.094444444444445
Adilabad,2024-01-29,0.0,12.544444444444444,32.62222222222223,25.36111111111111,90.76666666666668,0.0,7.98888888888889
Adilabad,2024-01-30,0.0,14.511111111111113,32.333333333333336,35.21111111111111,91.48888888888888,0.0,7.577777777777778
Adilabad,2024-01-31,0.0,16.23888888888889,31.98333333333333,39.38333333333333,88.02222222222223,0.0,6.0
Bhadradri Kothagudem,2024-01-01,0.0,18.37391304347826,30.37391304347826,56.77826086956522,98.19130434782608,0.0260869565217391,4.252173913043478
Bhadradri Kothagudem,2024-01-02,0.0,16.52608695652174,30.61304347826087,54.20434782608696,98.47826086956522,0.0,3.0173913043478264
Bhadradri Kothagudem,2024-01-03,0.0,16.817391304347826,29.608695652173918,62.81739130434782,98.79130434782608,0.0,4.395652173913043
Bhadradri Kothagudem,2024-01-04,0.0,16.02608695652174,30.456521739130437,53.90434782608696,98.7,0.0,5.747826086956521
Bhadradri Kothagudem,2024-01-05,0.0,16.291304347826088,31.095652173913045,48.65217391304348,98.98260869565216,0.008695652173913,6.030434782608695
Bhadradri Kothagudem,2024-01-06,0.0,15.391304347826088,30.78695652173913,54.36521739130435,98.75652173913043,0.1913043478260869,5.395652173913043
Bhadradri Kothagudem,2024-01-07,0.0,15.673913043478262,30.904347826086955,48.34782608695652,98.5695652173913,0.0,5.586956521739131
Bhadradri Kothagudem,2024-01-08,0.0,15.713043478260868,31.02173913043478,41.72608695652174,98.47826086956522,0.0869565217391304,5.239130434782608
Bhadradri Kothagudem,2024-01-09,0.0,18.63478260869565,30.52608695652174,45.52608695652174,96.4913043478261,0.0,6.2043478260869565
Bhadradri Kothagudem,2024-01-10,0.0,18.14782608695652,30.9,50.25652173913044,97.7,0.0,4.556521739130434
Bhadradri Kothagudem,2024-01-11,0.0,19.782608695652176,31.48695652173913,55.96521739130435,98.92173913043476,0.0,3.926086956521739
Bhadradri Kothagudem,2024-01-12,0.0,18.90869565217391,32.756521739130434,52.73913043478261,98.9,0.0,3.430434782608696
