Date,District,Longitude,Latitude,Evapotranspiration
2022-01-01,Adilabad,78.56516888256076,19.520583182394112,1.1566937
2022-01-02,Adilabad,78.56516888256076,19.520583182394112,1.0487528
2022-01-03,Adilabad,78.56516888256076,19.520583182394112,1.0970744
2022-01-04,Adilabad,78.56516888256076,19.520583182394112,0.9579104
2022-01-05,Adilabad,78.56516888256076,19.520583182394112,0.74732524
2022-01-06,Adilabad,78.56516888256076,19.520583182394112,1.2097747
2022-01-07,Adilabad,78.56516888256076,19.520583182394112,0.9504285
2022-01-08,Adilabad,78.56516888256076,19.520583182394112,0.4035047661855137
2022-01-09,Adilabad,78.56516888256076,19.520583182394112,1.5079339
2022-01-10,Adilabad,78.56516888256076,19.520583182394112,0.570193126572689
2022-01-11,Adilabad,78.56516888256076,19.520583182394112,0.2979997747703798
2022-01-12,Adilabad,78.56516888256076,19.520583182394112,0.2332869038119669
2022-01-13,Adilabad,78.56516888256076,19.520583182394112,0.0493460126718245
2022-01-14,Adilabad,78.56516888256076,19.520583182394112,0.3361567663973754
2022-01-15,Adilabad,78.56516888256076,19.520583182394112,0.4491295148297967
2022-01-16,Adilabad,78.56516888256076,19.520583182394112,1.8891151
2022-01-17,Adilabad,78.56516888256076,19.520583182394112,1.444429
2022-01-18,Adilabad,78.56516888256076,19.520583182394112,1.429254
2022-01-19,Adilabad,78.56516888256076,19.520583182394112,1.8132823
2022-01-20,Adilabad,78.56516888256076,19.520583182394112,1.6406447
2022-01-21,Adilabad,78.56516888256076,19.520583182394112,1.8355287
2022-01-22,Adilabad,78.56516888256076,19.520583182394112,1.6104628
2022-01-23,Adilabad,78.56516888256076,19.520583182394112,1.9137489
2022-01-24,Adilabad,78.56516888256076,19.520583182394112,2.3993244
2022-01-25,Adilabad,78.56516888256076,19.520583182394112,1.4659307
2022-01-26,Adilabad,78.56516888256076,19.520583182394112,1.7783962
2022-01-27,Adilabad,78.56516888256076,19.520583182394112,1.5557421
2022-01-28,Adilabad,78.56516888256076,19.520583182394112,1.1608782
2022-01-29,Adilabad,78.56516888256076,19.520583182394112,1.0346422
2022-01-30,Adilabad,78.56516888256076,19.520583182394112,1.0872993
2022-01-31,Adilabad,78.56516888256076,19.520583182394112,1.1650048
2022-02-01,Adilabad,78.56516888256076,19.520583182394112,1.2947973
2022-02-02,Adilabad,78.56516888256076,19.520583182394112,1.1130121
2022-02-03,Adilabad,78.56516888256076,19.520583182394112,1.3250257
2022-02-04,Adilabad,78.56516888256076,19.520583182394112,1.3989568
2022-02-05,Adilabad,78.56516888256076,19.520583182394112,1.1653209
2022-02-06,Adilabad,78.56516888256076,19.520583182394112,1.1909219
2022-02-07,Adilabad,78.56516888256076,19.520583182394112,0.92250335
2022-02-08,Adilabad,78.56516888256076,19.520583182394112,0.7449548
2022-02-09,Adilabad,78.56516888256076,19.520583182394112,0.8380067241058042
2022-02-10,Adilabad,78.56516888256076,19.520583182394112,1.6134942
2022-02-11,Adilabad,78.56516888256076,19.520583182394112,1.485022
2022-02-12,Adilabad,78.56516888256076,19.520583182394112,1.6537505
2022-02-13,Adilabad,78.56516888256076,19.520583182394112,1.0081486
2022-02-14,Adilabad,78.56516888256076,19.520583182394112,0.986832
2022-02-15,Adilabad,78.56516888256076,19.520583182394112,1.2629434
2022-02-16,Adilabad,78.56516888256076,19.520583182394112,1.682797
2022-02-17,Adilabad,78.56516888256076,19.520583182394112,2.318562
2022-02-18,Adilabad,78.56516888256076,19.520583182394112,0.8190712703019707
2022-02-19,Adilabad,78.56516888256076,19.520583182394112,1.2186862
2022-02-20,Adilabad,78.56516888256076,19.520583182394112,1.2740909
2022-02-21,Adilabad,78.56516888256076,19.520583182394112,1.2486511
2022-02-22,Adilabad,78.56516888256076,19.520583182394112,1.2353806
2022-02-23,Adilabad,78.56516888256076,19.520583182394112,1.3810046
2022-02-24,Adilabad,78.56516888256076,19.520583182394112,1.2982208
2022-02-25,Adilabad,78.56516888256076,19.520583182394112,1.2163212
2022-02-26,Adilabad,78.56516888256076,19.520583182394112,1.2736305
2022-02-27,Adilabad,78.56516888256076,19.520583182394112,1.5341223
2022-02-28,Adilabad,78.56516888256076,19.520583182394112,2.1880796
2022-03-01,Adilabad,78.56516888256076,19.520583182394112,1.2442625
2022-03-02,Adilabad,78.56516888256076,19.520583182394112,0.8107263402029936
2022-03-03,Adilabad,78.56516888256076,19.520583182394112,0.5474915
2022-03-04,Adilabad,78.56516888256076,19.520583182394112,0.9147309621616888
2022-03-05,Adilabad,78.56516888256076,19.520583182394112,1.2982303
2022-03-06,Adilabad,78.56516888256076,19.520583182394112,0.9034661201252896
2022-03-07,Adilabad,78.56516888256076,19.520583182394112,0.8605308430285917
2022-03-08,Adilabad,78.56516888256076,19.520583182394112,1.0197221
2022-03-09,Adilabad,78.56516888256076,19.520583182394112,0.8201058
2022-03-10,Adilabad,78.56516888256076,19.520583182394112,0.8245558
2022-03-11,Adilabad,78.56516888256076,19.520583182394112,0.8704325667717081
2022-03-12,Adilabad,78.56516888256076,19.520583182394112,0.9434578
2022-03-13,Adilabad,78.56516888256076,19.520583182394112,0.46514916
2022-03-14,Adilabad,78.56516888256076,19.520583182394112,0.45753738
2022-03-15,Adilabad,78.56516888256076,19.520583182394112,0.7302795
2022-03-16,Adilabad,78.56516888256076,19.520583182394112,1.0432484
2022-03-17,Adilabad,78.56516888256076,19.520583182394112,0.9347482
2022-03-18,Adilabad,78.56516888256076,19.520583182394112,0.7762779
2022-03-19,Adilabad,78.56516888256076,19.520583182394112,1.1804677
